id	title	description	price	condition	link	availability	image_link	brand	gtin	mpn	google_product_category	product_type	shipping_weight	shipping_length	shipping_width	shipping_height	item_group_id	additional_image_link	age_group	gender	material	pattern	color	size	item_condition	energy_efficiency_class	multipack	adult	shipping_label	shipping_cost	shipping_country	shipping_region	shipping_service	shipping_time	shipping_zip	shipping_city	shipping_state	shipping_address	shipping_phone	shipping_contact	shipping_notes	shipping_instructions	shipping_restrictions	shipping_handling_time	shipping_delivery_time	shipping_carrier	shipping_method	shipping_priority	shipping_insurance	shipping_signature	shipping_tracking	shipping_notification	shipping_confirmation	shipping_receipt	shipping_invoice	shipping_packing_slip	shipping_label_url	shipping_tracking_url	shipping_delivery_confirmation	shipping_proof_of_delivery	shipping_return_address	shipping_return_phone	shipping_return_contact	shipping_return_notes	shipping_return_instructions	shipping_return_restrictions	shipping_return_handling_time	shipping_return_delivery_time	shipping_return_carrier	shipping_return_method	shipping_return_priority	shipping_return_insurance	shipping_return_signature	shipping_return_tracking	shipping_return_notification	shipping_return_confirmation	shipping_return_receipt	shipping_return_invoice	shipping_return_packing_slip	shipping_return_label_url	shipping_return_tracking_url	shipping_return_delivery_confirmation	shipping_return_proof_of_delivery
tin-black	Business Card Tins - Black	Sleek black aluminum business card tins with custom vinyl stickers - modern and sophisticated (100 unit minimum)	425.00	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/black tins-buyprintz.jpg	BuyPrintz		BP-TIN-BLACK	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	2.5	4	3	1	business-card-tins		adult	unisex	Premium Black Aluminum		Black	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
tin-gold	Business Card Tins - Gold	Luxurious gold aluminum business card tins with custom vinyl stickers - premium and elegant (100 unit minimum)	450.00	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/gold tins-buyprintz.jpg	BuyPrintz		BP-TIN-GOLD	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	2.5	4	3	1	business-card-tins		adult	unisex	Premium Gold Aluminum		Gold	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
tent-canopy-only	10x10 Complete Tent (Canopy Only)	Complete tent package with frame and canopy. Perfect starter option with professional aluminum frame and custom dye sublimated canopy graphics.	325.00	new	https://buyprintz.com/tradeshow-tents	in_stock	https://buyprintz.com/assets/images/Tent_only-buyprintz.jpg	BuyPrintz		BP-TENT-10X10-CANOPY	Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Tents & Shelters > Tents	Trade Show Tent	51	120	120	137	tradeshow-tents		adult	unisex	6oz Tent Fabric (600x600 denier)		White	10x10	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
tent-with-walls	10x10 Complete Tent + Walls	Complete tent with frame, canopy, and wall options. Enhanced coverage with sidewalls and/or backwall for maximum branding and protection.	750.00	new	https://buyprintz.com/tradeshow-tents	in_stock	https://buyprintz.com/assets/images/tent_complete-buyprintz.jpg	BuyPrintz		BP-TENT-10X10-WALLS	Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Tents & Shelters > Tents	Trade Show Tent	58	120	120	137	tradeshow-tents		adult	unisex	6oz Tent Fabric (600x600 denier)		White	10x10	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-1	TinSkinz Abstract 1	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 1_Front.png	TinSkinz		TS-ABSTRACT-1	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 1_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-2	TinSkinz Abstract 2	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 2_Front.png	TinSkinz		TS-ABSTRACT-2	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 2_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-3	TinSkinz Abstract 3	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 3_Front.png	TinSkinz		TS-ABSTRACT-3	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 3_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-4	TinSkinz Abstract 4	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 4_Front.png	TinSkinz		TS-ABSTRACT-4	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 4_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-5	TinSkinz Abstract 5	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 5_Front.png	TinSkinz		TS-ABSTRACT-5	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 5_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-6	TinSkinz Abstract 6	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 6_Front.png	TinSkinz		TS-ABSTRACT-6	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 6_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-9	TinSkinz Abstract 9	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 9_Front.png	TinSkinz		TS-ABSTRACT-9	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 9_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-10	TinSkinz Abstract 10	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 10_Front.png	TinSkinz		TS-ABSTRACT-10	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 10_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-11	TinSkinz Abstract 11	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 11_Front.png	TinSkinz		TS-ABSTRACT-11	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 11_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-12	TinSkinz Abstract 12	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 12_Front.png	TinSkinz		TS-ABSTRACT-12	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 12_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-16	TinSkinz Abstract 16	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 16_Front.png	TinSkinz		TS-ABSTRACT-16	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 16_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
abstract-17	TinSkinz Abstract 17	Pre-designed tin with abstract art design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 17_Front.png	TinSkinz		TS-ABSTRACT-17	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-abstract-art	https://buyprintz.com/assets/tin-skinz/designs/Abstract-Art/Abstract Art/Abstract 17_Back.png	adult	unisex	Aluminum	Abstract Art	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
